,Index,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Carrier_Name
1044752,3494810,2008,6,29,7,1212,1145,1336,1315,AA,1119,N244AA,204,210,180,21,27,DFW,SMF,1431,6,18,0,N,0,21,0,0,0,0,American Airlines
704281,2303525,2008,4,27,7,1414,1305,1514,1405,AA,1888,N504AA,60,60,37,69,69,AUS,DFW,190,13,10,0,N,0,0,0,4,0,65,American Airlines
692217,2263507,2008,4,24,4,1659,1535,1924,1803,AA,203,N398AA,325,328,303,81,84,MIA,LAX,2342,8,14,0,N,0,66,0,0,0,15,American Airlines
711748,2330231,2008,4,9,3,1922,1835,2224,2145,B6,195,N566JB,362,370,307,39,47,JFK,LAS,2248,17,38,0,N,0,0,0,0,0,39,JetBlue Airways
474809,1490632,2008,3,23,7,1631,1620,1919,1810,DL,1628,N654DL,168,110,96,69,11,ATL,FLL,581,6,66,0,N,0,0,0,69,0,0,Delta Airlines
339420,1069524,2008,2,27,3,1258,1210,1639,1545,AA,869,N078AA,161,155,125,54,48,MIA,SJU,1045,9,27,0,N,0,36,0,6,0,12,American Airlines
410878,1268317,2008,3,31,1,1641,1610,1751,1725,WN,254,N213WN,70,75,54,26,31,BWI,CMH,336,4,12,0,N,0,26,0,0,0,0,Southwest Airlines
208855,668215,2008,2,21,4,1745,1655,1848,1815,WN,1152,N442WN,63,80,53,33,50,SJC,LAS,386,4,6,0,N,0,3,0,0,0,30,Southwest Airlines
734810,2411365,2008,5,9,5,1528,1510,1640,1620,WN,288,N629SW,72,70,61,20,18,STL,OMA,342,2,9,0,N,0,1,0,2,0,17,Southwest Airlines
81330,255620,2008,1,16,3,1325,1245,1853,1800,UA,1612,N481UA,208,195,189,53,40,DEN,TPA,1506,4,15,0,N,0,6,0,13,0,34,United Airlines
848289,2876498,2008,5,9,5,1358,1310,1550,1500,AA,537,N4WMAA,112,110,91,50,48,STL,DFW,551,5,16,0,N,0,0,0,2,0,48,American Airlines
402279,1247626,2008,3,24,1,2213,2145,2310,2250,WN,2354,N901WN,57,65,47,20,28,SLC,BOI,291,3,7,0,N,0,0,0,0,0,20,Southwest Airlines
17337,53328,2008,1,19,6,1053,940,1441,1335,WN,3059,N761RR,168,175,158,66,73,MDW,FLL,1166,3,7,0,N,0,28,0,0,0,38,Southwest Airlines
693900,2268852,2008,4,18,5,1729,1655,1827,1805,AA,437,N3AFAA,178,190,163,22,34,DFW,SNA,1205,4,11,0,N,0,21,0,0,0,1,American Airlines
854657,2895311,2008,5,7,3,1551,1440,1723,1620,AA,1349,N578AA,212,220,200,63,71,ORD,TUS,1437,2,10,0,N,0,0,0,8,0,55,American Airlines
258475,824418,2008,2,18,1,1552,1545,1926,1910,UA,466,N570UA,154,145,123,16,7,SFO,DEN,967,7,24,0,N,0,7,0,9,0,0,United Airlines
449475,1403263,2008,3,10,1,1815,1725,2125,2049,UA,216,N203UA,130,144,115,36,50,MSY,IAD,954,3,12,0,N,0,0,0,0,0,36,United Airlines
866451,2932761,2008,5,1,4,2106,2045,524,509,B6,488,N579JB,318,324,304,15,21,LGB,BOS,2602,3,11,0,N,0,1,0,0,0,14,JetBlue Airways
14148,45831,2008,1,17,4,1040,1010,1142,1115,WN,2947,N312SW,62,65,51,27,30,DAL,LBB,293,2,9,0,N,0,27,0,0,0,0,Southwest Airlines
851658,2886167,2008,5,16,5,2219,1725,145,2105,AA,1046,N5FBAA,146,160,129,280,294,DFW,MIA,1121,5,12,0,N,0,280,0,0,0,0,American Airlines
730262,2394067,2008,5,4,7,1546,1525,1659,1640,WN,328,N379SW,73,75,56,19,21,TUS,LAS,365,6,11,0,N,0,0,0,0,0,19,Southwest Airlines
692862,2265465,2008,4,2,3,1516,1510,2103,2040,AA,324,N594AA,227,210,180,23,6,SFO,DFW,1464,15,32,0,N,0,0,0,17,0,6,American Airlines
377583,1189627,2008,3,7,5,2042,1910,158,25,WN,2466,N441WN,196,195,178,93,92,LAS,MSY,1501,5,13,0,N,0,1,0,1,0,91,Southwest Airlines
887604,3009296,2008,6,6,5,2138,2050,2318,2235,WN,2785,N475WN,100,105,88,43,48,SMF,SEA,605,4,8,0,N,0,0,0,0,0,43,Southwest Airlines
284043,907765,2008,2,28,4,2136,2031,2257,2234,DL,1483,N616DL,261,303,238,23,65,ATL,SNA,1919,6,17,0,N,0,23,0,0,0,0,Delta Airlines
156088,508341,2008,1,8,2,2051,1820,2228,1950,AA,1438,N4WMAA,97,90,73,158,151,ORD,BNA,409,5,19,0,N,0,22,0,7,0,129,American Airlines
96126,304768,2008,1,17,4,2233,1905,142,2250,DL,99,N904DL,189,225,151,172,208,JFK,TPA,1005,5,33,0,N,0,0,0,0,0,172,Delta Airlines
393149,1226510,2008,3,18,2,1606,1545,1737,1710,WN,398,N315SW,91,85,76,27,21,MDW,OMA,423,2,13,0,N,0,10,0,6,0,11,Southwest Airlines
336434,1062009,2008,2,24,7,1938,1900,2151,2115,AA,510,N584AA,73,75,47,36,38,ORD,DTW,235,10,16,0,N,0,36,0,0,0,0,American Airlines
357623,1125350,2008,2,15,5,1441,1415,1741,1703,B6,49,N561JB,180,168,139,38,26,JFK,MCO,944,8,33,0,N,0,21,0,12,0,5,JetBlue Airways
964062,3232526,2008,6,28,6,2335,1922,59,2058,UA,555,N412UA,204,216,185,241,253,DFW,SFO,1464,5,14,0,N,0,34,0,0,0,207,United Airlines
534779,1677254,2008,3,29,6,1743,1720,1930,1915,AA,897,N5EDAA,167,175,153,15,23,MCO,DFW,984,4,10,0,N,0,15,0,0,0,0,American Airlines
533251,1673594,2008,3,29,6,1228,1155,1636,1615,AA,728,N4WTAA,188,200,170,21,33,DFW,LGA,1389,6,12,0,N,0,6,0,0,0,15,American Airlines
76933,244459,2008,1,16,3,2303,2230,23,2349,UA,927,N511UA,80,79,53,34,33,SFO,LAX,337,10,17,0,N,0,0,0,1,0,33,United Airlines
795997,2637372,2008,5,20,2,752,700,1113,1043,UA,1220,N565UA,141,163,124,30,52,SJC,DEN,948,4,13,0,N,0,30,0,0,0,0,United Airlines
452371,1412029,2008,3,8,6,2225,2105,2309,2152,UA,465,N423UA,44,47,30,77,80,DEN,EGE,121,4,10,0,N,0,52,0,0,0,25,United Airlines
957508,3217285,2008,6,30,1,1904,1835,2207,2115,UA,85,N596UA,363,340,326,52,29,LAX,HNL,2556,8,29,0,N,0,29,0,23,0,0,United Airlines
535378,1678917,2008,3,30,7,1124,1055,1320,1250,AA,1039,N3BLAA,116,115,85,30,29,ATL,MIA,595,7,24,0,N,0,12,0,1,0,17,American Airlines
180498,590026,2008,1,2,3,1001,952,1309,1230,DL,1557,N703TW,368,338,331,39,9,ATL,SEA,2182,14,23,0,N,0,9,0,30,0,0,Delta Airlines
339916,1070743,2008,2,1,5,2221,2115,44,2340,AA,1012,N3BHAA,143,145,116,64,66,MIA,DCA,920,3,24,0,N,0,61,0,0,0,3,American Airlines
571957,1785775,2008,3,13,4,2247,2220,600,545,DL,1478,N128DL,253,265,227,15,27,SFO,ATL,2139,7,19,0,N,0,0,0,0,0,15,Delta Airlines
637786,2036084,2008,4,16,3,2138,2120,2307,2249,UA,1229,N305UA,89,89,63,18,18,DEN,BIL,455,3,23,0,N,0,0,7,0,0,11,United Airlines
963754,3231896,2008,6,28,6,1500,1405,1827,1729,UA,536,N524UA,147,144,121,58,55,ORD,BOS,867,6,20,0,N,0,0,0,7,0,51,United Airlines
542519,1699011,2008,3,27,4,1720,1700,1949,1930,AA,1783,N274AA,209,210,167,19,20,IAD,DFW,1172,21,21,0,N,0,10,0,0,0,9,American Airlines
726281,2376843,2008,4,7,1,1258,1230,1455,1427,DL,1094,N629DL,117,117,88,28,28,FLL,ATL,581,10,19,0,N,0,0,0,0,0,28,Delta Airlines
93164,298846,2008,1,2,3,1601,1515,1714,1650,WN,3493,N217JC,73,95,61,24,46,CMH,PHL,405,6,6,0,N,0,0,8,0,0,16,Southwest Airlines
543942,1702798,2008,3,18,2,1144,1135,1302,1235,AA,1938,N3AHAA,78,60,42,27,9,MIA,TPA,204,6,30,0,N,0,9,0,18,0,0,American Airlines
868553,2942534,2008,5,20,2,2018,1935,2141,2102,B6,33,N566JB,83,87,56,39,43,ROC,JFK,264,14,13,0,N,0,0,0,0,0,39,JetBlue Airways
913337,3072936,2008,6,25,3,2136,2110,2252,2225,WN,2621,N684WN,76,75,60,27,26,SMF,ONT,389,4,12,0,N,0,0,0,1,0,26,Southwest Airlines
528781,1661595,2008,3,9,7,748,705,1603,1525,AA,222,N619AA,315,320,298,38,43,LAX,BOS,2611,5,12,0,N,0,38,0,0,0,0,American Airlines
545719,1707837,2008,3,14,5,2222,2100,56,10,AA,2278,N5CFAA,154,190,142,46,82,MIA,BOS,1258,4,8,0,N,0,46,0,0,0,0,American Airlines
639879,2043138,2008,4,5,6,1640,1548,2040,2003,UA,1676,N467UA,300,315,260,37,52,SJU,ORD,2072,15,25,0,N,0,0,0,0,0,37,United Airlines
692467,2264148,2008,4,23,3,1105,710,1910,1535,AA,270,N5DJAA,305,325,280,215,235,HNL,LAX,2556,13,12,0,N,0,215,0,0,0,0,American Airlines
74016,237393,2008,1,6,7,1707,1500,1824,1615,UA,643,N933UA,77,75,51,129,127,ORD,STL,258,6,20,0,N,0,127,0,2,0,0,United Airlines
727188,2380506,2008,4,10,4,1140,1115,1302,1237,DL,1089,N943DL,142,142,126,25,25,ATL,AUS,813,4,12,0,N,0,8,0,0,0,17,Delta Airlines
458914,1431916,2008,3,11,2,1744,1705,2114,2039,UA,1448,N488UA,150,154,128,35,39,ORD,TPA,1012,5,17,0,N,0,0,0,0,0,35,United Airlines
859698,2909757,2008,5,11,7,1720,1545,2102,1940,AA,1900,N530AA,162,175,149,82,95,DFW,DCA,1192,3,10,0,N,0,26,0,0,0,56,American Airlines
788832,2614780,2008,5,22,4,1734,1657,1900,1815,UA,325,N853UA,146,138,128,45,37,SAT,DEN,794,5,13,0,N,0,0,0,8,0,37,United Airlines
98753,314242,2008,1,24,4,819,725,1124,1028,DL,1689,N390DA,125,123,95,56,54,SEA,SLC,689,6,24,0,N,0,54,0,2,0,0,Delta Airlines
533174,1673402,2008,3,22,6,1823,1745,1939,1850,AA,719,N3AVAA,76,65,43,49,38,MIA,TPA,204,5,28,0,N,0,0,0,11,0,38,American Airlines
338708,1067776,2008,2,14,4,1409,1335,1609,1545,AA,773,N532AA,180,190,163,24,34,RSW,ORD,1120,8,9,0,N,0,0,0,0,0,24,American Airlines
262967,836545,2008,2,20,3,1827,1803,2101,2043,UA,919,N515UA,334,340,320,18,24,IAD,SAN,2253,2,12,0,N,0,0,18,0,0,0,United Airlines
969884,3245745,2008,6,9,1,1838,1816,2000,1931,UA,1170,N829UA,82,75,58,29,22,LAX,SFO,337,7,17,0,N,0,0,0,7,0,22,United Airlines
168663,547126,2008,1,2,3,2106,2025,30,2355,B6,629,N178JB,264,270,191,35,41,JFK,HOU,1428,4,69,0,N,0,9,0,0,0,26,JetBlue Airways
450441,1406230,2008,3,1,6,2327,2138,138,3,UA,314,N301UA,71,85,52,95,109,ORD,PIT,412,8,11,0,N,0,11,0,0,0,84,United Airlines
535908,1680413,2008,3,27,4,2332,2010,213,2230,AA,1087,N497AA,161,140,138,223,202,ORD,MSY,837,2,21,0,N,0,58,20,21,0,124,American Airlines
359047,1129474,2008,2,22,5,2044,1920,2346,2300,B6,165,N503JB,362,400,319,46,84,JFK,PDX,2454,4,39,0,N,0,1,0,0,0,45,JetBlue Airways
696089,2276087,2008,4,29,2,1902,1810,2322,2240,AA,750,N3BXAA,200,210,171,42,52,DFW,LGA,1389,6,23,0,N,0,0,0,42,0,0,American Airlines
348963,1095386,2008,2,5,2,2255,1945,47,2135,AA,2019,N4YSAA,172,170,148,192,190,LGA,STL,887,4,20,0,N,0,108,0,2,0,82,American Airlines
21898,68885,2008,1,24,4,2044,1955,2215,2120,WN,1235,N237WN,91,85,77,55,49,HOU,MAF,441,4,10,0,N,0,36,0,6,0,13,Southwest Airlines
378389,1191108,2008,3,7,5,1326,1225,1544,1445,WN,2374,N671SW,78,80,65,59,61,RNO,SLC,422,4,9,0,N,0,12,0,0,0,47,Southwest Airlines
892086,3020052,2008,6,10,2,2138,2115,2156,2125,WN,48,N521SW,78,70,55,31,23,ELP,PHX,347,17,6,0,N,0,0,0,8,0,23,Southwest Airlines
571700,1784599,2008,3,12,3,1942,1820,2121,2021,DL,1668,N125DL,99,121,79,60,82,FLL,ATL,581,6,14,0,N,0,0,0,0,0,60,Delta Airlines
595873,1863144,2008,4,24,4,1816,1755,1933,1915,WN,789,N791SW,77,80,67,18,21,SNA,OAK,371,4,6,0,N,0,0,0,0,0,18,Southwest Airlines
629411,2009280,2008,4,23,3,1356,1341,1729,1705,UA,168,N574UA,153,144,136,24,15,SJC,DEN,948,5,12,0,N,0,0,0,9,0,15,United Airlines
725427,2375000,2008,4,6,7,1802,1657,2029,1917,DL,69,N699DL,327,320,306,72,65,ATL,SFO,2139,9,12,0,N,0,50,0,7,0,15,Delta Airlines
577701,1800224,2008,4,6,7,1445,1415,1538,1515,WN,268,N777QC,53,60,43,23,30,HOU,MSY,303,3,7,0,N,0,17,0,0,0,6,Southwest Airlines
744682,2440331,2008,5,18,7,2128,1755,2233,1935,WN,1241,N774SW,65,100,46,178,213,PIT,PHL,267,4,15,0,N,0,0,163,0,0,15,Southwest Airlines
853298,2891249,2008,5,30,5,1257,1220,1616,1540,AA,1210,N447AA,139,140,109,36,37,ORD,BOS,867,8,22,0,N,0,0,36,0,0,0,American Airlines
196101,637242,2008,2,12,2,1508,1445,1714,1650,WN,2821,N344SW,126,125,107,24,23,MCO,BWI,787,4,15,0,N,0,0,0,1,0,23,Southwest Airlines
202575,652350,2008,2,17,7,1957,1740,2102,1915,WN,1334,N465WN,245,275,234,107,137,CMH,LAS,1772,3,8,0,N,0,0,0,0,0,107,Southwest Airlines
93443,299272,2008,1,2,3,1556,1520,1659,1620,WN,714,N443WN,63,60,45,39,36,HOU,MSY,303,6,12,0,N,0,36,0,3,0,0,Southwest Airlines
698259,2283058,2008,4,18,5,1624,1550,2110,2040,AA,1116,N4WRAA,166,170,132,30,34,ONT,DFW,1189,10,24,0,N,0,0,0,0,0,30,American Airlines
985265,3303198,2008,6,22,7,1013,955,1707,1639,DL,1176,N617DL,294,284,260,28,18,SLC,EWR,1968,7,27,0,N,0,0,0,28,0,0,Delta Airlines
908706,3061125,2008,6,22,7,2005,1850,2116,2015,WN,3132,N782SA,131,145,116,61,75,MCO,HOU,848,5,10,0,N,0,3,0,0,0,58,Southwest Airlines
74090,237555,2008,1,28,1,2115,1740,2243,1913,UA,649,N941UA,88,93,66,210,215,ORD,OMA,416,3,19,0,N,0,0,0,7,0,203,United Airlines
728532,2385134,2008,4,14,1,1947,1920,2140,2111,DL,848,N605DL,113,111,82,29,27,ATL,BWI,576,8,23,0,N,0,1,0,2,0,26,Delta Airlines
792828,2627622,2008,5,18,7,2213,2115,27,2340,UA,706,N309UA,74,85,63,47,58,DEN,OMA,472,4,7,0,N,0,47,0,0,0,0,United Airlines
260259,829391,2008,2,12,2,2310,2045,155,2326,UA,628,N854UA,105,101,81,149,145,ORD,DCA,612,3,21,0,N,0,0,11,4,0,134,United Airlines
68023,222173,2008,1,10,4,1213,1030,1506,1205,UA,147,N313UA,173,95,78,181,103,SAN,SFO,447,5,90,0,N,0,0,0,181,0,0,United Airlines
400142,1241496,2008,3,23,7,1259,1245,1531,1515,WN,3508,N789SW,92,90,71,16,14,BNA,DTW,457,9,12,0,N,0,14,0,2,0,0,Southwest Airlines
1038011,3478115,2008,6,30,1,1431,1255,1758,1630,AA,348,N493AA,147,155,126,88,96,DFW,RSW,1017,5,16,0,N,0,88,0,0,0,0,American Airlines
455155,1420358,2008,3,5,3,1243,1115,1416,1254,UA,721,N559UA,153,159,134,82,88,DEN,SFO,967,7,12,0,N,0,0,0,0,0,82,United Airlines
266653,846544,2008,2,13,3,48,2055,233,2148,UA,1583,N448UA,165,113,100,285,233,DEN,LAS,629,8,57,0,N,0,0,232,52,0,1,United Airlines
550609,1724160,2008,3,31,1,1942,1855,2259,2231,AS,578,N626AS,137,156,122,28,47,SEA,DEN,1024,5,10,0,N,0,0,0,0,0,28,Alaska Airlines
70174,227456,2008,1,31,4,11,2025,159,2156,UA,343,N914UA,108,91,64,243,226,ORD,OMA,416,4,40,0,N,0,26,0,17,0,200,United Airlines
542316,1698499,2008,3,31,1,1914,1805,2233,2110,AA,1760,N419AA,139,125,109,83,69,DFW,IND,762,16,14,0,N,0,0,5,14,0,64,American Airlines
701675,2294893,2008,4,16,3,1654,1530,2305,2130,AA,1546,N4XNAA,251,240,196,95,84,LAX,ORD,1745,16,39,0,N,0,0,0,95,0,0,American Airlines
278868,887923,2008,2,1,5,1308,1235,1513,1445,WN,3504,N901WN,65,70,52,28,33,SNA,PHX,338,7,6,0,N,0,11,0,0,0,17,Southwest Airlines
530215,1665099,2008,3,15,6,1932,1845,2226,2050,AA,374,N3DGAA,174,125,103,96,47,MIA,ATL,595,38,33,0,N,0,0,0,75,0,21,American Airlines
551047,1726024,2008,3,3,1,2056,2015,2333,2305,B6,142,N274JB,157,170,143,28,41,RSW,JFK,1074,3,11,0,N,0,8,0,0,0,20,JetBlue Airways
651488,2094408,2008,4,21,1,1118,1055,1357,1335,DL,915,N918DE,159,160,98,22,23,LGA,ATL,761,8,53,0,N,0,0,0,0,0,22,Delta Airlines
547774,1713957,2008,3,6,4,1926,1855,2157,2130,AS,342,N961AS,151,155,139,27,31,SEA,LGB,965,3,9,0,N,0,0,0,0,0,27,Alaska Airlines
736682,2417656,2008,5,11,7,1919,1910,2037,2020,WN,2423,N352SW,78,70,58,17,9,TUS,SAN,367,11,9,0,N,0,1,0,8,0,8,Southwest Airlines
153325,499985,2008,1,21,1,1545,1330,2051,1905,AA,1144,N591AA,186,215,168,106,135,SFO,DFW,1464,9,9,0,N,0,0,13,0,0,93,American Airlines
73052,234823,2008,1,8,2,1828,1650,1940,1816,UA,563,N836UA,132,146,103,84,98,PHL,ORD,678,5,24,0,N,0,21,0,0,0,63,United Airlines
339267,1069171,2008,2,8,5,2251,2110,105,2340,AA,850,N3BCAA,134,150,113,85,101,MIA,IAD,921,9,12,0,N,0,3,0,0,0,82,American Airlines
589670,1840560,2008,4,18,5,1937,1920,2038,2020,WN,48,N452WN,61,60,46,18,17,DAL,LIT,296,5,10,0,N,0,8,0,1,0,9,Southwest Airlines
698728,2284925,2008,4,7,1,1605,1520,2115,2045,AA,1178,N599AA,190,205,164,30,45,SFO,DFW,1464,7,19,0,N,0,14,0,0,0,16,American Airlines
404239,1252773,2008,3,26,3,1812,1730,1925,1855,WN,923,N905WN,73,85,57,30,42,LAS,RNO,345,4,12,0,N,0,1,0,0,0,29,Southwest Airlines
171572,557944,2008,1,22,2,2158,2120,523,500,B6,243,N562JB,265,280,247,23,38,LGB,FLL,2327,3,15,0,N,0,0,0,0,0,23,JetBlue Airways
713111,2335365,2008,4,18,5,1532,1510,1752,1732,B6,119,N258JB,200,202,169,20,22,JFK,MSY,1182,8,23,0,N,0,6,0,0,0,14,JetBlue Airways
356679,1122933,2008,2,10,7,2000,1840,2310,2136,B6,138,N649JB,190,176,162,94,80,RSW,JFK,1074,9,19,0,N,0,0,0,86,0,8,JetBlue Airways
711485,2328995,2008,4,7,1,2304,2100,148,2359,B6,458,N599JB,164,179,144,109,124,FLL,BOS,1237,5,15,0,N,0,0,0,0,0,109,JetBlue Airways
149229,488803,2008,1,3,4,703,635,1007,945,AA,622,N532AA,124,130,107,22,28,DFW,JAX,919,6,11,0,N,0,22,0,0,0,0,American Airlines
530562,1666064,2008,3,17,1,1856,1755,2125,1950,AA,408,N494AA,149,115,89,95,61,TUL,ORD,585,10,50,0,N,0,0,0,46,0,49,American Airlines
282283,900489,2008,2,22,5,2003,1905,2230,2130,DL,1774,N665DN,327,325,300,60,58,FLL,LAS,2174,7,20,0,N,0,0,0,2,0,58,Delta Airlines
703066,2299753,2008,4,27,7,1854,1845,2316,2235,AA,1742,N378AA,262,230,226,41,9,SJU,JFK,1597,15,21,0,N,0,9,0,32,0,0,American Airlines
848833,2877997,2008,5,11,7,2217,1655,3,1855,AA,611,N544AA,106,120,91,308,322,BNA,DFW,631,6,9,0,N,0,138,0,0,0,170,American Airlines
964355,3233172,2008,6,20,5,1532,1515,1827,1742,UA,575,N436UA,295,267,232,45,17,ORD,SEA,1721,6,57,0,N,0,0,0,28,0,17,United Airlines
146636,481614,2008,1,11,5,1939,1715,2054,1859,AA,345,N418AA,135,164,118,115,144,LGA,ORD,733,4,13,0,N,0,53,0,0,0,62,American Airlines
67558,221199,2008,1,18,5,1105,1000,1307,1229,UA,109,N531UA,242,269,227,38,65,ORD,LAX,1745,6,9,0,N,0,29,0,0,0,9,United Airlines
77098,244796,2008,1,17,4,1824,1644,2151,2005,UA,938,N556UA,147,141,107,106,100,DEN,ORD,888,5,35,0,N,0,0,0,106,0,0,United Airlines
809641,2698305,2008,5,23,5,1630,1610,1820,1752,DL,1437,N627DL,110,102,95,28,20,RIC,ATL,481,8,7,0,N,0,0,0,10,0,18,Delta Airlines
1047373,3501990,2008,6,1,7,1249,1050,1354,1150,AA,1378,N555AA,65,60,43,124,119,SAT,DFW,247,9,13,0,N,0,0,0,5,0,119,American Airlines
693786,2268447,2008,4,11,5,1727,1630,2102,2010,AA,422,N429AA,155,160,131,52,57,DFW,RDU,1062,3,21,0,N,0,13,0,0,0,39,American Airlines
80153,252595,2008,1,6,7,2125,2100,2302,2214,UA,1496,N474UA,157,134,116,48,25,DEN,ONT,819,5,36,0,N,0,0,0,27,0,21,United Airlines
696129,2276229,2008,4,11,5,633,600,746,715,AA,756,N291AA,73,75,56,31,33,MSP,ORD,334,6,11,0,N,0,31,0,0,0,0,American Airlines
705359,2306771,2008,4,2,3,1348,1335,1521,1455,AA,2055,N484AA,213,200,193,26,13,DFW,BUR,1231,3,17,0,N,0,12,0,13,0,1,American Airlines
337465,1064743,2008,2,25,1,1626,1530,1837,1720,AA,641,N589AA,191,170,152,77,56,CMH,DFW,927,33,6,0,N,0,0,0,21,0,56,American Airlines
265777,844321,2008,2,4,1,859,850,1313,1249,UA,1498,N488UA,194,179,151,24,9,ORD,FLL,1182,5,38,0,N,0,9,0,15,0,0,United Airlines
282633,901460,2008,2,23,6,1630,1602,1811,1751,DL,1542,N969DL,101,109,77,20,28,ATL,BWI,576,11,13,0,N,0,11,0,0,0,9,Delta Airlines
850812,2883852,2008,5,12,1,1727,1640,2200,2115,AA,878,N534AA,213,215,186,45,47,DFW,EWR,1372,11,16,0,N,0,0,0,23,0,22,American Airlines
30439,93475,2008,1,31,4,2352,2115,41,2210,WN,1585,N614SW,49,55,39,151,157,SAT,DAL,248,5,5,0,N,0,0,0,0,0,151,Southwest Airlines
166027,538105,2008,1,11,5,1534,1520,2118,2040,AS,870,N557AS,404,380,373,38,14,ANC,HNL,2777,3,28,0,N,0,14,0,24,0,0,Alaska Airlines
460036,1435480,2008,3,1,6,1743,1715,1953,1929,UA,1565,N469UA,130,134,104,24,28,IAD,MCO,758,6,20,0,N,0,24,0,0,0,0,United Airlines
696323,2276831,2008,4,2,3,1311,1245,1518,1445,AA,789,N539AA,187,180,156,33,26,MCO,ORD,1005,9,22,0,N,0,0,0,7,0,26,American Airlines
474938,1491281,2008,3,24,1,1601,1530,1838,1819,DL,748,N915DN,97,109,75,19,31,SFO,SLC,599,5,17,0,N,0,3,0,0,0,16,Delta Airlines
210024,670099,2008,2,22,5,2117,1900,2239,2015,WN,1842,N223WN,82,75,66,144,137,LAX,OAK,337,7,9,0,N,0,133,0,7,0,4,Southwest Airlines
810079,2701708,2008,5,26,1,2150,2140,12,2353,DL,1760,N971DL,142,133,100,19,10,ATL,EWR,745,6,36,0,N,0,10,0,9,0,0,Delta Airlines
969425,3244757,2008,6,15,7,850,806,1048,1018,UA,1121,N425UA,238,252,214,30,44,PHL,DEN,1557,13,11,0,N,0,0,0,0,0,30,United Airlines
6323,11134,2008,1,6,7,1926,1835,2018,1940,WN,1076,N736SA,112,125,99,38,51,RDU,MDW,632,5,8,0,N,0,4,0,0,0,34,Southwest Airlines
